"","CCI","CMF","CMO","DVI","MACD","MFI","OBV","MOMENTUM","RSI","FASTK","FASTD","SLOWD","TDI","WILLIAMSAD","WPR","BUY"
"2002-02-13",3.315744180861,-0.00408065406693355,-8.49423255279265,0.483333333333333,-0.866557774690502,31.3496543408923,-24214800000,11.01001,49.9388087151916,0.669350814534421,0.568115388247622,0.436562979413893,506.610229000002,-395.991095999998,0.330649185465579,0
"2002-02-14",18.012651168929,0.0325043714111487,-10.4038125898584,0.675396825396825,-0.745350422401858,37.8016308870175,-25487300000,-2.0300299999999,49.1890167454503,0.635989585271161,0.595623214735087,0.536108776927002,508.410156000002,-404.231086999998,0.364010414728839,0
"2002-02-15",-22.0749334070386,-0.0530375156866926,-16.6398112566356,0.738888888888889,-0.730247981655852,37.5321687280937,-26846500000,-12.2999260000001,44.8000174064958,0.44228598848362,0.582542129429734,0.582093577470815,543.170044000002,-417.140998999998,0.55771401151638,0
"2002-02-19",-100.719610283224,-0.0643348293205041,-10.6803786288451,0.701587301587302,-0.860308503484353,38.7589192584835,-28036400000,-20.8400879999999,38.5273998720954,0.106045092715359,0.394773555490047,0.524312966551623,550.349853000002,-437.981086999998,0.893954907284641,1
"2002-02-20",-89.8675872183478,0.0228522040849711,-9.52409025221103,0.649206349206349,-0.847268258359823,47.3126271362549,-26597500000,14.6400140000001,44.4152029495365,0.42291862399368,0.323749901730886,0.433688528883556,533.339967000002,-414.361091999998,0.57708137600632,0
"2002-02-21",-93.2569280776741,-0.0469518200241054,-30.0140455982643,0.515873015873016,-0.950727422243602,39.5627308164402,-27979100000,-17.030029,39.6569298839512,0.118015222287206,0.215659646332082,0.311394367851005,552.600099000002,-434.911140999998,0.881984777712794,1
"2002-02-22",-91.4466801615798,-0.00214312636767492,-19.6145066364071,0.365079365079365,-0.957024890400116,39.5698926175928,-26568100000,8.89001499999995,43.0847509301742,0.307386523101892,0.282773456460926,0.274061001507965,582.680177000002,-419.461189999998,0.692613476898108,1
"2002-02-25",4.48068962857006,0.0301093393282325,9.55941535209476,0.33015873015873,-0.809128704063367,46.9027177018623,-25200700000,19.5900879999999,49.845834771988,0.696387584380979,0.373929776590026,0.290787626461011,574.480225000002,-399.871101999998,0.303612415619021,0
"2002-02-26",40.5147511611496,0.0339298602642006,12.7000636309105,0.402380952380952,-0.684397676854642,55.0987193872058,-26509900000,-0.0500489999999445,49.8295486255685,0.695393759640838,0.566389289041237,0.407697507364063,578.630372000002,-405.541145999998,0.304606240359162,1
"2002-02-27",58.9506675540165,0.0791681490839412,18.0141994339349,0.480952380952381,-0.57518774997376,63.4520018537515,-25116100000,0.510009999999966,50.0087952701978,0.705521046014587,0.699100796678802,0.546473287436688,469.440431000002,-397.911140999998,0.294478953985413,0
"2002-02-28",54.2769641929934,-0.0416255256400105,18.1593819428524,0.601587301587302,-0.505901431792721,63.5000594259989,-26508300000,-3.16003499999988,48.8443600446445,0.642772120707104,0.681228975454177,0.648906353724739,415.890382000002,-412.751106999998,0.357227879292896,1
"2002-03-01",123.767451733696,-0.0454069098776027,22.9035165690249,0.773015873015873,-0.265214152046322,63.7504969704465,-25051800000,25.0500489999999,57.3268770639582,0.999825701017102,0.782706289246265,0.721012020459748,390.140138000002,-387.701057999998,0.000174298982897799,1
"2002-03-04",231.306374188532,0.0306336490367167,25.9281978333433,0.88968253968254,0.083957462873463,64.6946114664294,-23457500000,22.059937,63.1256483774039,1,0.880865940574736,0.781600401758393,292.829956000002,-364.791145999998,0,1
"2002-03-05",203.845446444398,0.0306265700714075,23.4380449218223,0.920634920634921,0.300197894006438,65.6293600959516,-25006800000,-7.69995100000006,60.057897719583,0.86087821654604,0.953567972521048,0.87238006744735,87.1497780000025,-376.391120999998,0.13912178345396,1
"2002-03-06",201.5514869886,0.0850436760197472,25.9619611250398,0.93968253968254,0.583368814591023,66.300620350133,-23465500000,16.630005,64.11416331626,0.97228618164023,0.944388132728757,0.926274015274847,-133.130250999998,-358.731085999998,0.0277138183597697,1
"2002-03-07",170.660506388812,0.0907953822229629,23.6411890575169,0.95,0.760149322436443,66.8091645745631,-24982900000,-5.22998099999995,61.9823179835888,0.88886613710312,0.907343511763131,0.935099872337645,-359.160279999998,-369.130987999998,0.11113386289688,1
"2002-03-08",159.71581805497,0.126105185149394,35.7596836700906,0.95,0.936657286224185,73.7414562943759,-23570900000,6.77001999999993,63.6664794217347,0.914126536045087,0.925092951596146,0.925608198696012,-578.030275999997,-362.360967999998,0.0858734639549133,1
"2002-03-11",138.475464399098,0.0899325919093685,56.1417220481903,0.93968253968254,1.09084332661671,79.6383766868319,-22360700000,3.94995100000006,64.6504198056327,0.951656867610193,0.918216513586134,0.91688432564847,-651.720215999998,-353.680913999999,0.0483431323898067,1
"2002-03-12",107.935291010306,0.0767648983374605,48.5282782202413,0.920634920634921,1.17948237029368,72.8367612536511,-23665100000,-2.68005399999993,63.3959524759633,0.92447210114954,0.930085168268274,0.924464877816852,-589.550170999998,-356.360967999998,0.0755278988504601,1
"2002-03-13",80.5680253496703,0.0504903653505112,54.6799799506783,0.857142857142857,1.15484214126833,72.6302144283493,-25019100000,-11.48999,58.1834280738524,0.807988034146062,0.894705667635265,0.914335783163225,-523.930175999998,-367.850957999999,0.192011965853938,1
"2002-03-14",65.2566025430152,0.00203043782985427,50.1906364440923,0.724603174603175,1.11490341832317,73.0763861142055,-26227900000,-1.04992700000003,57.7164352502975,0.759706997697549,0.830722377664384,0.885171071189308,-466.300171999998,-372.640874999999,0.240293002302451,1
"2002-03-15",76.0820937269898,0.0679541692315084,47.4926763052585,0.607936507936508,1.16192494452383,73.3457211370302,-2.4734e+10,13.119995,61.8383353392987,0.90366022420007,0.823785085347894,0.849737710215848,-409.830078999998,-359.520879999999,0.0963397757999301,1
